Category,Infinitive,Past Simple / Past Participle
→ a,sit,sat
→ a,ring,rang
→ a,sing,sang
→ a,swim,swam
→ a,drink,drank
→ a,begin,began
→ ew,know,knew
→ ew,throw,threw
→ ew,grow,grew
→ ew,blow,blew
→ ew,fly,flew
→ ew,draw,drew
long o,speak,spoke
long o,break,broke
long o,steal,stole
long o,write,wrote
long o,ride,rode
long o,drive,drove
long o,choose,chose
long o,wake,woke
long o,rise,rose
long o,shine,shone
→ ought,think,thought
→ ought,buy,bought
→ ought,bring,brought
→ ought,fight,fought
→ aught,teach,taught
→ aught,catch,caught
→ t,leave,left
→ t,mean,"meant (dreamt/dreamed)"
→ t,learn,"learnt (learned)"
→ t,sleep,slept
→ t,keep,kept
→ t,feel,felt
→ t,sweep,swept
short o,get,got
short o,forget,forgot
short o,shoot,shot
short o,win,won
o → long o,come,came
o → long o,become,became
a → oo,stand,stood
a → oo,understand,understood
a → oo,shake,shook
a → oo,take,took
ell → old,sell,sold
ell → old,tell,told
uy → ai,say,said
uy → ai,pay,paid
short a,fall,fell
short a,hold,held
short a,feed,fed
short a,meet,met
ear → ore,tear,tore
ear → ore,wear,wore
d → t,build,built
d → t,send,sent
d → t,spend,spent
d → t,lend,lent
no change,shut,shut
no change,let,let
no change,put,put
no change,cut,cut
no change,read,read
no change,cost,cost
no change,hit,hit
no change,hurt,hurt
no change,beat,beat
others,do,did
others,go,went
others,have,had
others,be,"was / were"
others,make,made
others,run,ran
others,see,saw
